f548, 6f, 0, 4f, 50, c800, 0
f54a, 83, 0, 4f, 54, c800, 0
f54d, 2a, 0, 4e, 50, c800, 0
f548, 6f, 0, 4e, 50, c800, 0
f54a, 83, 0, 4e, 54, c800, 0
f54d, 2a, 0, 4d, 50, c800, 0
f548, 6f, 0, 4d, 50, c800, 0
f54a, 83, 0, 4d, 54, c800, 0
f54d, 2a, 0, 4c, 50, c800, 0
f548, 6f, 0, 4c, 50, c800, 0
f54a, 83, 0, 4c, 54, c800, 0
f54d, 2a, 0, 4b, 50, c800, 0
f548, 6f, 0, 4b, 50, c800, 0
f54a, 83, 0, 4b, 54, c800, 0
f54d, 2a, 0, 4a, 50, c800, 0
f548, 6f, 0, 4a, 50, c800, 0
f54a, 83, 0, 4a, 54, c800, 0
f54d, 2a, 0, 49, 50, c800, 0
f548, 6f, 0, 49, 50, c800, 0
f54a, 83, 0, 49, 54, c800, 0
f54d, 2a, 0, 48, 50, c800, 0
f548, 6f, 0, 48, 50, c800, 0
f54a, 83, 0, 48, 54, c800, 0
f54d, 2a, 0, 47, 50, c800, 0
f548, 6f, 0, 47, 50, c800, 0
f54a, 83, 0, 47, 54, c800, 0
f54d, 2a, 0, 46, 50, c800, 0
f548, 6f, 0, 46, 50, c800, 0
f54a, 83, 0, 46, 54, c800, 0
f54d, 2a, 0, 45, 50, c800, 0
f548, 6f, 0, 45, 50, c800, 0
f54a, 83, 0, 45, 54, c800, 0
f54d, 2a, 0, 44, 50, c800, 0
f548, 6f, 0, 44, 50, c800, 0
f54a, 83, 0, 44, 54, c800, 0
f54d, 2a, 0, 43, 50, c800, 0
f548, 6f, 0, 43, 50, c800, 0
f54a, 83, 0, 43, 54, c800, 0
f54d, 2a, 0, 42, 50, c800, 0
f548, 6f, 0, 42, 50, c800, 0
f54a, 83, 0, 42, 54, c800, 0
f54d, 2a, 0, 41, 50, c800, 0
f548, 6f, 0, 41, 50, c800, 0
f54a, 83, 0, 41, 54, c800, 0
f54d, 2a, 0, 40, 50, c800, 0
f548, 6f, 0, 40, 50, c800, 0
f54a, 83, 0, 40, 54, c800, 0
f54d, 2a, 0, 3f, 50, c800, 0
f548, 6f, 0, 3f, 50, c800, 0
f54a, 83, 0, 3f, 54, c800, 0
f54d, 2a, 0, 3e, 50, c800, 0
f548, 6f, 0, 3e, 50, c800, 0
f54a, 83, 0, 3e, 54, c800, 0
f54d, 2a, 0, 3d, 50, c800, 0
f548, 6f, 0, 3d, 50, c800, 0
f54a, 83, 0, 3d, 54, c800, 0
f54d, 2a, 0, 3c, 50, c800, 0
f548, 6f, 0, 3c, 50, c800, 0
f54a, 83, 0, 3c, 54, c800, 0
f54d, 2a, 0, 3b, 50, c800, 0
f548, 6f, 0, 3b, 50, c800, 0
f54a, 83, 0, 3b, 54, c800, 0
f54d, 2a, 0, 3a, 50, c800, 0
f548, 6f, 0, 3a, 50, c800, 0
f54a, 83, 0, 3a, 54, c800, 0
f54d, 2a, 0, 39, 50, c800, 0
f548, 6f, 0, 39, 50, c800, 0
f54a, 83, 0, 39, 54, c800, 0
f54d, 2a, 0, 38, 50, c800, 0
f548, 6f, 0, 38, 50, c800, 0
f54a, 83, 0, 38, 54, c800, 0
f54d, 2a, 0, 37, 50, c800, 0
f548, 6f, 0, 37, 50, c800, 0
f54a, 83, 0, 37, 54, c800, 0
f54d, 2a, 0, 36, 50, c800, 0
f548, 6f, 0, 36, 50, c800, 0
f54a, 83, 0, 36, 54, c800, 0
f54d, 2a, 0, 35, 50, c800, 0
f548, 6f, 0, 35, 50, c800, 0
f54a, 83, 0, 35, 54, c800, 0
f54d, 2a, 0, 34, 50, c800, 0
f548, 6f, 0, 34, 50, c800, 0
f54a, 83, 0, 34, 54, c800, 0
f54d, 2a, 0, 33, 50, c800, 0
f548, 6f, 0, 33, 50, c800, 0
f54a, 83, 0, 33, 54, c800, 0
f54d, 2a, 0, 32, 50, c800, 0
f548, 6f, 0, 32, 50, c800, 0
f54a, 83, 0, 32, 54, c800, 0
f54d, 2a, 0, 31, 50, c800, 0
f548, 6f, 0, 31, 50, c800, 0
f54a, 83, 0, 31, 54, c800, 0
f54d, 2a, 0, 30, 50, c800, 0
f548, 6f, 0, 30, 50, c800, 0
f54a, 83, 0, 30, 54, c800, 0
f54d, 2a, 0, 2f, 50, c800, 0
f548, 6f, 0, 2f, 50, c800, 0
f54a, 83, 0, 2f, 54, c800, 0
f54d, 2a, 0, 2e, 50, c800, 0
f548, 6f, 0, 2e, 50, c800, 0
f54a, 83, 0, 2e, 54, c800, 0
f54d, 2a, 0, 2d, 50, c800, 0
f548, 6f, 0, 2d, 50, c800, 0
f54a, 83, 0, 2d, 54, c800, 0
f54d, 2a, 0, 2c, 50, c800, 0
f548, 6f, 0, 2c, 50, c800, 0
f54a, 83, 0, 2c, 54, c800, 0
f54d, 2a, 0, 2b, 50, c800, 0
f548, 6f, 0, 2b, 50, c800, 0
f54a, 83, 0, 2b, 54, c800, 0
f54d, 2a, 0, 2a, 50, c800, 0
f548, 6f, 0, 2a, 50, c800, 0
f54a, 83, 0, 2a, 54, c800, 0
f54d, 2a, 0, 29, 50, c800, 0
f548, 6f, 0, 29, 50, c800, 0
f54a, 83, 0, 29, 54, c800, 0
f54d, 2a, 0, 28, 50, c800, 0
f548, 6f, 0, 28, 50, c800, 0
f54a, 83, 0, 28, 54, c800, 0
f54d, 2a, 0, 27, 50, c800, 0
f548, 6f, 0, 27, 50, c800, 0
f54a, 83, 0, 27, 54, c800, 0
f54d, 2a, 0, 26, 50, c800, 0
f548, 6f, 0, 26, 50, c800, 0
f54a, 83, 0, 26, 54, c800, 0
f54d, 2a, 0, 25, 50, c800, 0
f548, 6f, 0, 25, 50, c800, 0
f54a, 83, 0, 25, 54, c800, 0
f54d, 2a, 0, 24, 50, c800, 0
f548, 6f, 0, 24, 50, c800, 0
f54a, 83, 0, 24, 54, c800, 0
f54d, 2a, 0, 23, 50, c800, 0
f548, 6f, 0, 23, 50, c800, 0
f54a, 83, 0, 23, 54, c800, 0
f54d, 2a, 0, 22, 50, c800, 0
f548, 6f, 0, 22, 50, c800, 0
f54a, 83, 0, 22, 54, c800, 0
f54d, 2a, 0, 21, 50, c800, 0
f548, 6f, 0, 21, 50, c800, 0
f54a, 83, 0, 21, 54, c800, 0
f54d, 2a, 0, 20, 50, c800, 0
f548, 6f, 0, 20, 50, c800, 0
f54a, 83, 0, 20, 54, c800, 0
f54d, 2a, 0, 1f, 50, c800, 0
f548, 6f, 0, 1f, 50, c800, 0
f54a, 83, 0, 1f, 54, c800, 0
f54d, 2a, 0, 1e, 50, c800, 0
f548, 6f, 0, 1e, 50, c800, 0
f54a, 83, 0, 1e, 54, c800, 0
f54d, 2a, 0, 1d, 50, c800, 0
f548, 6f, 0, 1d, 50, c800, 0
f54a, 83, 0, 1d, 54, c800, 0
f54d, 2a, 0, 1c, 50, c800, 0
f548, 6f, 0, 1c, 50, c800, 0
f54a, 83, 0, 1c, 54, c800, 0
f54d, 2a, 0, 1b, 50, c800, 0
f548, 6f, 0, 1b, 50, c800, 0
f54a, 83, 0, 1b, 54, c800, 0
f54d, 2a, 0, 1a, 50, c800, 0
f548, 6f, 0, 1a, 50, c800, 0
